institution,title,dates,image,link
bampfa,"Divine Women, Divine Wisdom","June 26, 2019–February 28, 2021",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/exhibition/Divine-Women-Divine-Wisdom_2019_Two-Taras_Nepal_1200.jpg?itok=LyFdtfwe,https://bampfa.org/program/divine-women-divine-wisdom
bampfa,Art Wall: Edie Fake,"November 20, 2019–December 13, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/Event_Gallery-Studio_2020-03-14_Fake_Affordable-Housing-for-Trans-Elders_1200.jpg?itok=sUODuCvU,https://bampfa.org/program/art-wall-edie-fake
bampfa,Ron Nagle: Handsome Drifter,"January 15–August 30, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/Nagle_Handsome-Drifter_1200.jpg?itok=OLLqd4-_,https://bampfa.org/program/ron-nagle-handsome-drifter
bampfa,Brave Warriors and Fantastic Tales: The World According to Yoshitoshi,"January 15–July 19, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/exhibition/Yoshitoshi-Taiso_Fukami-Jikyu-Challenges-Moon_001_b_1200.jpg?itok=HiJr3ool,https://bampfa.org/program/brave-warriors-and-fantastic-tales-world-according-yoshitoshi
bampfa,Rosie Lee Tompkins: A Retrospective,"February 19–December 20, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/TOMPKINS-RL_11_1200_flipped_003.jpg?itok=bDlU0Ef1,https://bampfa.org/program/rosie-lee-tompkins-retrospective
bampfa,Art for Human Rights: Peace Now!,"February 26–August 30, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/Unknown_Peace-Now_001_1200.jpg?itok=zrISvmuH,https://bampfa.org/program/art-human-rights-peace-now
bampfa,When All That Is Solid Melts into Air,"March 4–May 24, 2020",https://bamlive.s3.amazonaws.com/styles/on_view_page_images/s3/exhibition/Gill-Vangad_A-Seed%27s-Journey_1200.jpg?itok=vHRsDzTz,https://bampfa.org/program/when-all-solid-melts-air
cjm,What We Hold: A Youth Audio Project,"Apr 19, 2020–Aug 20, 2020","https://res.cloudinary.com/the-contemporary-jewish-museum/image/upload/c_fill,cs_srgb,dpr_2.0,f_jpg,q_70,w_1290/v1/Exhibition/WhatWeHold19_header_02",https://www.thecjm.org/exhibitions/149
cjm,"Predicting the Past: Zohar Studios, The Lost Years","Mar 12, 2020–Aug 23, 2020","https://res.cloudinary.com/the-contemporary-jewish-museum/image/upload/c_fill,cs_srgb,dpr_2.0,f_jpg,q_70,w_1290/v1/exhibit/A_Wandering_Jewess_stephen_berkman_header",https://www.thecjm.org/exhibitions/106
cjm,Levi Strauss: A History of American Style,"Feb 13, 2020–Aug  9, 2020","https://res.cloudinary.com/the-contemporary-jewish-museum/image/upload/c_fill,cs_srgb,dpr_2.0,f_jpg,q_70,w_1290/v1/exhibition/HIST_DR004_0029_0004_1939_Postcards.jpg",https://www.thecjm.org/exhibitions/114
cjm,Threads of Jewish Life: Ritual and Other Textiles from the San Francisco Bay Area,"Feb 13, 2020–Aug  9, 2020","https://res.cloudinary.com/the-contemporary-jewish-museum/image/upload/c_fill,cs_srgb,dpr_2.0,f_jpg,q_70,w_1290/v1/exhibition/ThreadsofJewsihLife_WebHero_Crop.jpg",https://www.thecjm.org/exhibitions/115
cjm,Lamp of the Covenant: Dave Lane,Ongoing exhibit,"https://res.cloudinary.com/the-contemporary-jewish-museum/image/upload/c_fill,cs_srgb,dpr_2.0,f_jpg,q_70,w_1290/v1/exhibit/Dave_Lane_10",https://www.thecjm.org/exhibitions/4
deyoung,Frida Kahlo: Appearances Can Be Deceiving,Through July 27,https://deyoung.famsf.org/sites/default/files/styles/collections640x480/public/mar_frida-kahlo_exhibition_webheader-2.jpg?itok=-UnTUf6a,https://deyoung.famsf.org/exhibitions/frida-kahlo
deyoung,Uncanny Valley: Being Human in the Age of AI,"Through Oct 25, 2020",https://deyoung.famsf.org/sites/default/files/styles/collections640x480/public/new-lead_use-this.jpg?itok=oOtciPTa,https://deyoung.famsf.org/exhibitions/uncanny-valley
deyoung,The Turkmen Storage Bag,"Through Nov 15, 2020",https://deyoung.famsf.org/sites/default/files/styles/collections640x480/public/a311634_v1_o2_0.jpg?itok=lxKjpjwJ,https://deyoung.famsf.org/exhibitions/turkmen-bag
legionofhonor,Alexandre Singh: A Gothic Tale,"Through Jun 28, 2020",https://legionofhonor.famsf.org/sites/default/files/styles/collections640x480/public/alexandre_singh-appointment_still-exhibition_hero_0.jpg?itok=STQzcF8v,https://legionofhonor.famsf.org/exhibitions/alexandre-singh-gothic-tale
legionofhonor,The Book of Now: Dieter Roth and Ed Ruscha,"Through Aug 2, 2020",https://legionofhonor.famsf.org/sites/default/files/styles/collections640x480/public/a018171_v1_o2.jpg?itok=WRpWodOh,https://legionofhonor.famsf.org/exhibitions/roth-ruscha
legionofhonor,Last Supper in Pompeii: From the Table to the Grave,Coming Soon,https://legionofhonor.famsf.org/sites/default/files/styles/collections640x480/public/marine-scene.jpg?itok=UnhBJfa8,https://legionofhonor.famsf.org/exhibitions/pompeii
omca, You Are Here: California Stories on the Map ,On view through 2022 ,https://museumca.org/sites/default/files/styles/exhibits-640x425/public/field/gallery/1.4.2_Holt.jpg?itok=zEmKYzrm,https://museumca.org/exhibit/you-are-here-california-stories-map
omca, Edith Heath: A Life in Clay ,"June 27, 2020–January 3, 2021 ",https://museumca.org/sites/default/files/styles/exhibits-640x425/public/field/gallery/heathportrait001.jpg?itok=6bXeR1_i,https://museumca.org/exhibit/edith-heath-life-clay
omca, Hella Feminist: An Exhibition ,Spring 2021 ,https://museumca.org/sites/default/files/styles/exhibits-640x425/public/field/gallery/shannon%20erby_web.jpg?itok=xm2I2tad,https://museumca.org/exhibit/hella-feminist-exhibition
omca, Black Power ,Ongoing ,https://museumca.org/sites/default/files/styles/exhibits-640x425/public/field/gallery/Black_Power-4.jpg?itok=VnANIT-B,https://museumca.org/projects/black-power
omca, Dorothea Lange: Photography as Activism ,Ongoing ,https://museumca.org/sites/default/files/styles/exhibits-640x425/public/field/gallery/Lange%20tags.jpg?itok=ojrdz-WD,https://museumca.org/projects/dorothea-lange-photography-activism
omca," U.S. Immigration: Who Is Let In, Who Is Kept Out? ",Ongoing ,https://museumca.org/sites/default/files/styles/exhibits-640x425/public/hbarczyk.jpg?itok=LJiD8Gdr,https://museumca.org/projects/us-immigration-who-let-who-kept-out
